DATE,USACPIALLMINMEI
2015-01-01,98.6034757000553
2015-02-01,99.0317150246607
2015-03-01,99.621124223157
2015-04-01,99.8236413421822
2015-05-01,100.332465603733
2015-06-01,100.683917187375
2015-07-01,100.690667758009
2015-08-01,100.548061953362
2015-09-01,100.391533096782
2015-10-01,100.346388655666
2015-11-01,100.134589502019
2015-12-01,99.7924199529991
2016-01-01,99.9573870228718
2016-02-01,100.039659602476
2016-03-01,100.470430391069
2016-04-01,100.946767531443
2016-05-01,101.35517705481
2016-06-01,101.688064569208
2016-07-01,101.52351941
2016-08-01,101.616761666885
2016-09-01,101.861047941709
2016-10-01,101.988043051764
2016-11-01,101.829404641861
2016-12-01,101.862735584367
2017-01-01,102.45636388951
2017-02-01,102.778703637292
2017-03-01,102.86224194889
2017-04-01,103.167283359421
2017-05-01,103.25546268833
2017-06-01,103.34912685588
2017-07-01,103.277823953556
2017-08-01,103.587084470734
2017-09-01,104.135568334761
2017-10-01,104.069750271078
2017-11-01,104.072281735065
2017-12-01,104.011104688693
2018-01-01,104.577730711299
2018-02-01,105.05195829835
2018-03-01,105.28949400254
2018-04-01,105.708029381859
